Date,Merchant,Amount,Account,Type
2024-02-15,Gym Membership,-40.00,Checking,Expense
2024-02-16,CVS Pharmacy,-18.90,Checking,Expense
2024-02-17,Uber Eats,-28.40,Checking,Expense
2024-02-18,Whole Foods,-69.15,Checking,Expense
2024-02-19,Target,-45.80,Checking,Expense
2024-02-20,AT&T Wireless,-85.00,Checking,Expense
2024-02-21,Costco,-112.40,Checking,Expense
2024-02-22,Hulu,-17.99,Checking,Expense
2024-02-23,Apple iTunes,-4.99,Checking,Expense
2024-02-24,DoorDash,-22.60,Checking,Expense
2024-02-25,Walgreens,-15.20,Checking,Expense
2024-02-26,Amazon Prime,-14.99,Checking,Expense
2024-02-28,Interest Income,12.50,Savings,Income
2024-03-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-03-03,Trader Joe's,-71.30,Checking,Expense
2024-03-04,Shell Gas Station,-55.90,Checking,Expense
2024-03-05,Netflix,-15.99,Checking,Expense
2024-03-06,Spotify,-9.99,Checking,Expense
2024-03-07,Starbucks,-6.50,Checking,Expense
2024-03-08,Rent Payment,-1450.00,Checking,Expense
2024-03-09,PG&E Utility,-65.40,Checking,Expense
2024-03-10,Amazon,-156.70,Checking,Expense
2024-03-11,Safeway,-88.60,Checking,Expense
2024-03-12,Chipotle,-11.90,Checking,Expense
2024-03-13,Gym Membership,-40.00,Checking,Expense
2024-03-14,Home Depot,-234.50,Checking,Expense
2024-03-15,CVS Pharmacy,-27.80,Checking,Expense
2024-03-16,Uber,-21.30,Checking,Expense
2024-03-17,Whole Foods,-83.45,Checking,Expense
2024-03-18,Target,-78.20,Checking,Expense
2024-03-19,AT&T Wireless,-85.00,Checking,Expense
2024-03-20,Costco,-145.80,Checking,Expense
2024-03-21,Hulu,-17.99,Checking,Expense
2024-03-22,Apple iTunes,-4.99,Checking,Expense
2024-03-23,McDonald's,-8.75,Checking,Expense
2024-03-24,DoorDash,-31.20,Checking,Expense
2024-03-25,Lyft,-19.80,Checking,Expense
2024-03-26,Walgreens,-22.40,Checking,Expense
2024-03-27,Amazon,-45.99,Checking,Expense
2024-03-31,Interest Income,12.50,Savings,Income
2024-04-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-04-02,Trader Joe's,-55.60,Checking,Expense
2024-04-03,Chevron,-46.30,Checking,Expense
2024-04-04,Netflix,-15.99,Checking,Expense
2024-04-05,Spotify,-9.99,Checking,Expense
2024-04-06,Starbucks,-7.80,Checking,Expense
2024-04-07,Rent Payment,-1450.00,Checking,Expense
2024-04-08,PG&E Utility,-58.20,Checking,Expense
2024-04-09,Safeway,-96.40,Checking,Expense
2024-04-10,Amazon,-67.99,Checking,Expense
2024-04-11,Chipotle,-13.45,Checking,Expense
2024-04-12,Gym Membership,-40.00,Checking,Expense
2024-04-13,CVS Pharmacy,-19.60,Checking,Expense
2024-04-14,Uber Eats,-35.80,Checking,Expense
2024-04-15,Whole Foods,-74.30,Checking,Expense
2024-04-16,Target,-52.10,Checking,Expense
2024-04-17,AT&T Wireless,-85.00,Checking,Expense
2024-04-18,Costco,-128.70,Checking,Expense
2024-04-19,Hulu,-17.99,Checking,Expense
2024-04-20,Apple iTunes,-4.99,Checking,Expense
2024-04-21,Shell Gas Station,-43.20,Checking,Expense
2024-04-22,DoorDash,-18.90,Checking,Expense
2024-04-23,Walgreens,-28.50,Checking,Expense
2024-04-24,Spring Clothing,-189.40,Checking,Expense
2024-04-25,Amazon,-33.99,Checking,Expense
2024-04-30,Interest Income,12.50,Savings,Income
2024-05-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-05-02,Bonus Payment,500.00,Checking,Income
2024-05-03,Trader Joe's,-68.20,Checking,Expense
2024-05-04,BP Gas,-51.40,Checking,Expense
2024-05-05,Netflix,-15.99,Checking,Expense
2024-05-06,Spotify,-9.99,Checking,Expense
2024-05-07,Starbucks,-9.25,Checking,Expense
2024-05-08,Rent Payment,-1450.00,Checking,Expense
2024-05-09,PG&E Utility,-54.80,Checking,Expense
2024-05-10,Amazon,-112.40,Checking,Expense
2024-05-11,Safeway,-82.90,Checking,Expense
2024-05-12,Chipotle,-15.60,Checking,Expense
2024-05-13,Gym Membership,-40.00,Checking,Expense
2024-05-14,CVS Pharmacy,-14.30,Checking,Expense
2024-05-15,Uber,-16.70,Checking,Expense
2024-05-16,Whole Foods,-91.20,Checking,Expense
2024-05-17,Target,-88.60,Checking,Expense
2024-05-18,AT&T Wireless,-85.00,Checking,Expense
2024-05-19,Costco,-167.30,Checking,Expense
2024-05-20,Hulu,-17.99,Checking,Expense
2024-05-21,Apple iTunes,-4.99,Checking,Expense
2024-05-22,Chevron,-48.60,Checking,Expense
2024-05-23,DoorDash,-24.50,Checking,Expense
2024-05-24,Lyft,-22.10,Checking,Expense
2024-05-25,Walgreens,-19.80,Checking,Expense
2024-05-26,Amazon,-78.99,Checking,Expense
2024-05-27,Memorial Day BBQ,-145.60,Checking,Expense
2024-05-31,Interest Income,12.50,Savings,Income
2024-06-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-06-02,Trader Joe's,-74.80,Checking,Expense
2024-06-03,Shell Gas Station,-57.30,Checking,Expense
2024-06-04,Netflix,-15.99,Checking,Expense
2024-06-05,Spotify,-9.99,Checking,Expense
2024-06-06,Starbucks,-8.45,Checking,Expense
2024-06-07,Rent Payment,-1450.00,Checking,Expense
2024-06-08,PG&E Utility,-92.40,Checking,Expense
2024-06-09,Amazon,-44.99,Checking,Expense
2024-06-10,Safeway,-109.60,Checking,Expense
2024-06-11,Chipotle,-12.30,Checking,Expense
2024-06-12,Gym Membership,-40.00,Checking,Expense
2024-06-13,CVS Pharmacy,-32.10,Checking,Expense
2024-06-14,Uber Eats,-41.20,Checking,Expense
2024-06-15,Whole Foods,-86.70,Checking,Expense
2024-06-16,Target,-61.30,Checking,Expense
2024-06-17,AT&T Wireless,-85.00,Checking,Expense
2024-06-18,Costco,-139.50,Checking,Expense
2024-06-19,Hulu,-17.99,Checking,Expense
2024-06-20,Apple iTunes,-4.99,Checking,Expense
2024-06-21,BP Gas,-44.80,Checking,Expense
2024-06-22,DoorDash,-29.60,Checking,Expense
2024-06-23,Lyft,-17.40,Checking,Expense
2024-06-24,Walgreens,-21.90,Checking,Expense
2024-06-25,Amazon,-56.99,Checking,Expense
2024-06-26,Vacation Flight,-389.00,Checking,Expense
2024-06-28,Hotel Stay,-245.60,Checking,Expense
2024-06-30,Interest Income,12.50,Savings,Income
2024-07-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-07-02,Trader Joe's,-59.40,Checking,Expense
2024-07-03,Chevron,-52.80,Checking,Expense
2024-07-04,Netflix,-15.99,Checking,Expense
2024-07-05,Spotify,-9.99,Checking,Expense
2024-07-06,Starbucks,-7.60,Checking,Expense
2024-07-07,Rent Payment,-1450.00,Checking,Expense
2024-07-08,PG&E Utility,-118.70,Checking,Expense
2024-07-09,Amazon,-89.40,Checking,Expense
2024-07-10,Safeway,-78.30,Checking,Expense
2024-07-11,Chipotle,-14.80,Checking,Expense
2024-07-12,Gym Membership,-40.00,Checking,Expense
2024-07-13,CVS Pharmacy,-16.40,Checking,Expense
2024-07-14,Uber,-23.60,Checking,Expense
2024-07-15,Whole Foods,-94.20,Checking,Expense
2024-07-16,Target,-44.70,Checking,Expense
2024-07-17,AT&T Wireless,-85.00,Checking,Expense
2024-07-18,Costco,-156.80,Checking,Expense
2024-07-19,Hulu,-17.99,Checking,Expense
2024-07-20,Apple iTunes,-4.99,Checking,Expense
2024-07-21,Shell Gas Station,-49.70,Checking,Expense
2024-07-22,DoorDash,-33.40,Checking,Expense
2024-07-23,Lyft,-19.20,Checking,Expense
2024-07-24,Walgreens,-24.60,Checking,Expense
2024-07-25,Amazon,-34.99,Checking,Expense
2024-07-31,Interest Income,12.50,Savings,Income
2024-08-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-08-02,Trader Joe's,-81.20,Checking,Expense
2024-08-03,BP Gas,-46.90,Checking,Expense
2024-08-04,Netflix,-15.99,Checking,Expense
2024-08-05,Spotify,-9.99,Checking,Expense
2024-08-06,Starbucks,-8.90,Checking,Expense
2024-08-07,Rent Payment,-1450.00,Checking,Expense
2024-08-08,PG&E Utility,-124.30,Checking,Expense
2024-08-09,Amazon,-201.50,Checking,Expense
2024-08-10,Safeway,-92.40,Checking,Expense
2024-08-11,Chipotle,-11.60,Checking,Expense
2024-08-12,Gym Membership,-40.00,Checking,Expense
2024-08-13,CVS Pharmacy,-29.80,Checking,Expense
2024-08-14,Uber Eats,-38.70,Checking,Expense
2024-08-15,Whole Foods,-71.30,Checking,Expense
2024-08-16,Target,-98.40,Checking,Expense
2024-08-17,AT&T Wireless,-85.00,Checking,Expense
2024-08-18,Costco,-143.20,Checking,Expense
2024-08-19,Hulu,-17.99,Checking,Expense
2024-08-20,Apple iTunes,-4.99,Checking,Expense
2024-08-21,Chevron,-54.30,Checking,Expense
2024-08-22,DoorDash,-27.80,Checking,Expense
2024-08-23,Lyft,-15.90,Checking,Expense
2024-08-24,Walgreens,-18.70,Checking,Expense
2024-08-25,Back to School Shopping,-312.80,Checking,Expense
2024-08-26,Amazon,-67.99,Checking,Expense
2024-08-31,Interest Income,12.50,Savings,Income
2024-09-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-09-02,Trader Joe's,-64.50,Checking,Expense
2024-09-03,Shell Gas Station,-43.60,Checking,Expense
2024-09-04,Netflix,-15.99,Checking,Expense
2024-09-05,Spotify,-9.99,Checking,Expense
2024-09-06,Starbucks,-7.15,Checking,Expense
2024-09-07,Rent Payment,-1450.00,Checking,Expense
2024-09-08,PG&E Utility,-98.40,Checking,Expense
2024-09-09,Amazon,-55.99,Checking,Expense
2024-09-10,Safeway,-87.30,Checking,Expense
2024-09-11,Chipotle,-13.20,Checking,Expense
2024-09-12,Gym Membership,-40.00,Checking,Expense
2024-09-13,CVS Pharmacy,-22.10,Checking,Expense
2024-09-14,Uber,-20.40,Checking,Expense
2024-09-15,Whole Foods,-79.60,Checking,Expense
2024-09-16,Target,-57.80,Checking,Expense
2024-09-17,AT&T Wireless,-85.00,Checking,Expense
2024-09-18,Costco,-131.40,Checking,Expense
2024-09-19,Hulu,-17.99,Checking,Expense
2024-09-20,Apple iTunes,-4.99,Checking,Expense
2024-09-21,BP Gas,-47.20,Checking,Expense
2024-09-22,DoorDash,-21.30,Checking,Expense
2024-09-23,Lyft,-18.60,Checking,Expense
2024-09-24,Walgreens,-26.40,Checking,Expense
2024-09-25,Amazon,-43.99,Checking,Expense
2024-09-30,Interest Income,12.50,Savings,Income
2024-10-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-10-02,Trader Joe's,-72.90,Checking,Expense
2024-10-03,Chevron,-50.40,Checking,Expense
2024-10-04,Netflix,-15.99,Checking,Expense
2024-10-05,Spotify,-9.99,Checking,Expense
2024-10-06,Starbucks,-9.80,Checking,Expense
2024-10-07,Rent Payment,-1500.00,Checking,Expense
2024-10-08,PG&E Utility,-76.80,Checking,Expense
2024-10-09,Amazon,-128.40,Checking,Expense
2024-10-10,Safeway,-101.20,Checking,Expense
2024-10-11,Chipotle,-15.40,Checking,Expense
2024-10-12,Gym Membership,-40.00,Checking,Expense
2024-10-13,CVS Pharmacy,-33.60,Checking,Expense
2024-10-14,Uber Eats,-29.80,Checking,Expense
2024-10-15,Whole Foods,-88.40,Checking,Expense
2024-10-16,Target,-71.20,Checking,Expense
2024-10-17,AT&T Wireless,-85.00,Checking,Expense
2024-10-18,Costco,-162.70,Checking,Expense
2024-10-19,Hulu,-17.99,Checking,Expense
2024-10-20,Apple iTunes,-4.99,Checking,Expense
2024-10-21,Shell Gas Station,-46.80,Checking,Expense
2024-10-22,DoorDash,-36.40,Checking,Expense
2024-10-23,Lyft,-21.70,Checking,Expense
2024-10-24,Walgreens,-17.30,Checking,Expense
2024-10-25,Amazon,-89.99,Checking,Expense
2024-10-26,Halloween Costumes,-78.40,Checking,Expense
2024-10-31,Interest Income,12.50,Savings,Income
2024-11-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-11-02,Trader Joe's,-68.30,Checking,Expense
2024-11-03,BP Gas,-42.60,Checking,Expense
2024-11-04,Netflix,-17.99,Checking,Expense
2024-11-05,Spotify,-9.99,Checking,Expense
2024-11-06,Starbucks,-8.20,Checking,Expense
2024-11-07,Rent Payment,-1500.00,Checking,Expense
2024-11-08,PG&E Utility,-89.30,Checking,Expense
2024-11-09,Amazon,-234.60,Checking,Expense
2024-11-10,Safeway,-95.80,Checking,Expense
2024-11-11,Chipotle,-12.70,Checking,Expense
2024-11-12,Gym Membership,-40.00,Checking,Expense
2024-11-13,CVS Pharmacy,-24.90,Checking,Expense
2024-11-14,Uber,-17.30,Checking,Expense
2024-11-15,Whole Foods,-82.60,Checking,Expense
2024-11-16,Target,-156.40,Checking,Expense
2024-11-17,AT&T Wireless,-85.00,Checking,Expense
2024-11-18,Costco,-178.90,Checking,Expense
2024-11-19,Hulu,-17.99,Checking,Expense
2024-11-20,Apple iTunes,-4.99,Checking,Expense
2024-11-21,Chevron,-53.20,Checking,Expense
2024-11-22,Thanksgiving Groceries,-187.40,Checking,Expense
2024-11-23,DoorDash,-19.80,Checking,Expense
2024-11-24,Lyft,-23.40,Checking,Expense
2024-11-25,Black Friday Shopping,-445.80,Checking,Expense
2024-11-26,Amazon,-312.99,Checking,Expense
2024-11-30,Interest Income,12.50,Savings,Income
2024-12-01,Payroll Direct Deposit,3200.00,Checking,Income
2024-12-02,Trader Joe's,-89.40,Checking,Expense
2024-12-03,Shell Gas Station,-56.70,Checking,Expense
2024-12-04,Netflix,-17.99,Checking,Expense
2024-12-05,Spotify,-9.99,Checking,Expense
2024-12-06,Starbucks,-11.40,Checking,Expense
2024-12-07,Rent Payment,-1500.00,Checking,Expense
2024-12-08,PG&E Utility,-112.60,Checking,Expense
2024-12-09,Amazon,-178.90,Checking,Expense
2024-12-10,Safeway,-134.20,Checking,Expense
2024-12-11,Chipotle,-14.90,Checking,Expense
2024-12-12,Gym Membership,-40.00,Checking,Expense
2024-12-13,CVS Pharmacy,-41.30,Checking,Expense
2024-12-14,Uber Eats,-44.60,Checking,Expense
2024-12-15,Whole Foods,-98.70,Checking,Expense
2024-12-16,Target,-234.80,Checking,Expense
2024-12-17,AT&T Wireless,-85.00,Checking,Expense
2024-12-18,Costco,-201.40,Checking,Expense
2024-12-19,Hulu,-17.99,Checking,Expense
2024-12-20,Apple iTunes,-4.99,Checking,Expense
2024-12-21,BP Gas,-49.30,Checking,Expense
2024-12-22,Christmas Gifts,-567.80,Checking,Expense
2024-12-23,DoorDash,-38.90,Checking,Expense
2024-12-24,Holiday Dinner,-123.40,Checking,Expense
2024-12-25,Amazon,-89.99,Checking,Expense
2024-12-27,Lyft,-28.60,Checking,Expense
2024-12-28,Year End Bonus,1200.00,Checking,Income
2024-12-31,Interest Income,12.50,Savings,Income
